songId,title,artist,bpm,category,imageName,isNew,isLocked,searchAcronyms,sheetType,difficulty,level,internalLevelValue,noteDesigner,noteTap,noteHold,noteSlide,noteTouch,noteBreak,noteTotal,regionJp,regionIntl,regionUsa,regionCn,isSpecial,version,internalId,releaseDate
101,おちゃめ機能,ゴジマジP,150,niconico & VOCALOID,,false,,,std,master,13+,13.6,mai-Star,443,19,9,,28,499,,,,,,maimai PLUS,101,
102,ダンシング☆サムライ,mathru(かにみそP),142,niconico & VOCALOID,,false,,,std,basic,6,6,-,131,0,4,,4,139,,,,,,maimai PLUS,102,
102,ダンシング☆サムライ,mathru(かにみそP),142,niconico & VOCALOID,,false,,,std,advanced,8,8.2,-,248,36,12,,21,317,,,,,,maimai PLUS,102,
102,ダンシング☆サムライ,mathru(かにみそP),142,niconico & VOCALOID,,false,,,std,expert,11,11.1,譜面-100号,238,73,59,,17,387,,,,,,maimai PLUS,102,
102,ダンシング☆サムライ,mathru(かにみそP),142,niconico & VOCALOID,,false,,,std,master,12+,12.7,譜面-100号,495,24,36,,9,564,,,,,,maimai PLUS,102,
106,BAD∞END∞NIGHT,ひとしずくP・やま△,204,niconico & VOCALOID,,false,,,std,basic,6,6,-,95,20,7,,5,127,,,,,,maimai PLUS,106,
106,BAD∞END∞NIGHT,ひとしずくP・やま△,204,niconico & VOCALOID,,false,,,std,advanced,8+,8.6,-,286,10,2,,16,314,,,,,,maimai PLUS,106,
106,BAD∞END∞NIGHT,ひとしずくP・やま△,204,niconico & VOCALOID,,false,,,std,expert,10+,10.7,譜面-100号,258,50,22,,5,335,,,,,,maimai PLUS,106,
106,BAD∞END∞NIGHT,ひとしずくP・やま△,204,niconico & VOCALOID,,false,,,std,master,13,13.5,ニャイン,381,21,61,,33,496,,,,,,maimai PLUS,106,
107,ロミオとシンデレラ,doriko,170,niconico & VOCALOID,,false,,,std,basic,5,5,-,125,7,5,,6,143,,,,,,maimai PLUS,107,
107,ロミオとシンデレラ,doriko,170,niconico & VOCALOID,,false,,,std,advanced,8+,8.6,-,166,48,4,,8,226,,,,,,maimai PLUS,107,
107,ロミオとシンデレラ,doriko,170,niconico & VOCALOID,,false,,,std,expert,11,11.1,譜面-100号,176,24,57,,16,273,,,,,,maimai PLUS,107,
107,ロミオとシンデレラ,doriko,170,niconico & VOCALOID,,false,,,std,master,12+,12.7,譜面-100号,390,35,16,,9,450,,,,,,maimai PLUS,107,
107,ロミオとシンデレラ,doriko,170,niconico & VOCALOID,,false,,,std,remaster,13,13.3,Jack,522,29,56,,17,624,,,,,,maimai PLUS,107,
108,Sweetiex2,Dixie Flatline,125,niconico & VOCALOID,,false,,,std,basic,5,5,-,101,12,4,,6,123,,,,,,maimai PLUS,108,
108,Sweetiex2,Dixie Flatline,125,niconico & VOCALOID,,false,,,std,advanced,6,6.9,-,196,19,4,,4,223,,,,,,maimai PLUS,108,
108,Sweetiex2,Dixie Flatline,125,niconico & VOCALOID,,false,,,std,expert,8,8.5,譜面-100号,264,31,12,,8,315,,,,,,maimai PLUS,108,
108,Sweetiex2,Dixie Flatline,125,niconico & VOCALOID,,false,,,std,master,12,12.4,mai-Star,228,26,47,,7,308,,,,,,maimai PLUS,108,
