id,title,artist,bpm,category,version,releaseDate,isNew,isLocked,sheetCount,dxdata,divingFish,maichart
312,ってゐ！ ～えいえんてゐVer～,石鹸屋,156,東方Project,maimai ORANGE PLUS,,false,false,5,true,true,true
313,待チ人ハ来ズ。,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
314,Cosmic Magic Shooter,SOUND HOLIC feat. Nana Takahashi,163,東方Project,maimai ORANGE,,false,false,4,true,true,true
315,深海少女,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
316,M.S.S.Planet,M.S.S Project,145,niconico＆ボーカロイド,maimai GreeN PLUS,,false,false,8,true,true,true
318,東方スイーツ！～鬼畜姉妹と受難メイド～,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
319,幻想のサテライト,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
320,最速最高シャッターガール,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
321,バラライカ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
322,林檎華憐歌,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
323,YATTA!,はっぱ隊 [cover],133,POPS＆アニメ,maimai GreeN PLUS,,false,false,4,true,true,true
324,Jack-the-Ripper◆,sasakure.UK,210,ゲーム＆バラエティ,maimai GreeN PLUS,,false,false,4,true,true,true
325,Windy Hill -Zone 1,大谷智哉「ソニック ロストワールド」,194,ゲーム＆バラエティ,maimai GreeN PLUS,,false,false,4,true,true,true
326,コトバ・カラフル,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
327,タカハせ！名人マン,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
328,言ノ葉カルマ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
329,かせげ！ジャリンコヒーロー,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
330,キズナの物語,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
331,Heart Beats,向日葵×emon(Tes.),128,niconico＆ボーカロイド,maimai ORANGE,,false,false,4,true,true,true
332,アゲアゲアゲイン,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
333,GO MY WAY!!,ナムコエンジェル「アイドルマスター」,180,ゲーム＆バラエティ,,,false,false,4,true,false,true
334,THE IDOLM@STER 2nd-mix,ナムコエンジェル「アイドルマスター」,168,ゲーム＆バラエティ,,,false,false,4,true,false,true
335,The world is all one !!,ナムコエンジェル「アイドルマスター」,167,ゲーム＆バラエティ,,,false,false,4,true,false,true
336,紅蓮の弓矢,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
337,鼓動,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
338,リクライム,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
339,DRAGONLADY,Nankumo/CUBE3,150,ゲーム＆バラエティ,maimai GreeN PLUS,,false,false,4,true,true,true
340,恋のヒメヒメぺったんこ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
341,二息歩行,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
342,ファンタジーゾーン OPA-OPA! -GMT remix-,Hiro(SEGA)「ファンタジーゾーン」,142,ゲーム＆バラエティ,maimai GreeN PLUS,,false,false,4,true,true,true
